0.005,90.6
0.01,54.7
0.015,39.9
0.02,37.7
0.025,31.2
0.03,29.0
0.035,27.0
0.04,27.8
0.045,28.9
0.05,27.7
0.055,26.8
0.06,27.6
0.065,27.1
0.07,27.5
0.075,26.9
0.08,27.3
0.085,27.7
0.09,26.2
0.095,26.9
0.1,28.7
0.105,29.0
0.11,26.7
0.115,29.3
0.12,30.3
0.125,29.3
0.13,30.6
0.135,28.4
0.14,30.0
0.145,31.1
0.15,33.7
0.155,27.1
0.16,27.1
0.165,28.4
0.17,27.2
0.175,26.7
0.18,27.8
0.185,28.5
0.19,28.9
0.195,30.8
0.2,30.0
0.205,29.1
0.21,29.4
0.215,28.0
0.22,27.3
0.225,28.3
0.23,28.2
0.235,28.8
0.24,28.7
0.245,29.5
0.25,29.4
